group_type,group,n,b1_safe_fidelity_count,b3_safe_fidelity_count,b1_rate,b3_rate,difference_b3_minus_b1,b3_only,b1_only,exact_mcnemar_p
speaker,BT,18,11,13,0.6111111111111112,0.7222222222222222,0.11111111111111105,5,3,0.7265625
speaker,HA,18,8,12,0.4444444444444444,0.6666666666666666,0.2222222222222222,5,1,0.21875
speaker,IM,18,10,15,0.5555555555555556,0.8333333333333334,0.2777777777777778,5,0,0.0625
speaker,PT,18,11,14,0.6111111111111112,0.7777777777777778,0.16666666666666663,4,1,0.375
challenge_stratum,REGRESSION_RISK,24,16,22,0.6666666666666666,0.9166666666666666,0.25,7,1,0.0703125
challenge_stratum,STRONG_GAIN,24,12,16,0.5,0.6666666666666666,0.16666666666666663,7,3,0.34375
challenge_stratum,SYSTEM_DISAGREEMENT,24,12,16,0.5,0.6666666666666666,0.16666666666666663,5,1,0.21875
protected_category,contraception_fertility,4,2,3,0.5,0.75,0.25,1,0,1.0
protected_category,infant_body_site,11,3,5,0.2727272727272727,0.45454545454545453,0.18181818181818182,4,2,0.6875
protected_category,infectious_disease,3,1,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,1,1.0
protected_category,number,11,5,9,0.45454545454545453,0.8181818181818182,0.3636363636363637,5,1,0.21875
protected_category,participant_role,62,31,45,0.5,0.7258064516129032,0.22580645161290325,19,5,0.006610751152038574
protected_category,polarity,33,18,25,0.5454545454545454,0.7575757575757576,0.21212121212121215,10,3,0.09228515625
protected_category,pregnancy_stage,41,21,33,0.5121951219512195,0.8048780487804879,0.29268292682926833,13,1,0.0018310546875
protected_category,requested_action,56,30,41,0.5357142857142857,0.7321428571428571,0.1964285714285714,16,5,0.02660369873046875
protected_category,risk_qualifier,16,12,15,0.75,0.9375,0.1875,3,0,0.25
protected_category,symptom_condition,16,6,10,0.375,0.625,0.25,7,3,0.34375
protected_category,temporal,57,30,42,0.5263157894736842,0.7368421052631579,0.21052631578947367,16,4,0.01181793212890625
protected_category,treatment_class,6,1,4,0.16666666666666666,0.6666666666666666,0.5,3,0,0.25
protected_category,urgency_referral,18,9,11,0.5,0.6111111111111112,0.11111111111111116,3,1,0.625
